TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
88355.0,0.0,17641.0,44.2,30020.0,32.4,22022.0,7.0,7.3,4991.0,7079.0,1908.0,4757
21995.0,0.0,4899.0,54.1,8994.0,38.1,6331.0,9.1,10.8,1787.0,2386.0,589.0,1517
27410.0,6.0,7465.0,54.7,11821.0,41.2,8897.0,9.3,10.4,2238.0,3505.0,863.0,2005
11481.0,0.0,2909.0,49.0,4296.0,40.4,3540.0,8.2,7.0,610.0,1042.0,279.0,718
20952.0,10.0,6773.0,53.9,9202.0,39.7,6778.0,11.8,13.0,2224.0,2521.0,706.0,2010
5460.0,0.0,1681.0,48.0,2151.0,34.1,1527.0,8.9,9.9,441.0,609.0,161.0,400
17142.0,0.0,4150.0,52.2,7144.0,42.4,5804.0,9.3,10.3,1408.0,2548.0,614.0,1270
15878.0,0.0,5285.0,48.5,6232.0,37.9,4865.0,9.3,8.5,1089.0,1556.0,476.0,1196
20298.0,6.0,4447.0,57.2,8764.0,41.3,6333.0,9.1,10.1,1553.0,2475.0,576.0,1390
134214.0,14.0,21027.0,45.6,45278.0,35.6,35355.0,7.0,7.9,7862.0,12096.0,3008.0,6961
67420.0,0.0,14752.0,43.1,22389.0,28.6,14868.0,7.4,8.4,4376.0,6031.0,1564.0,3852
18691.0,0.0,4286.0,38.0,5463.0,30.4,4365.0,7.0,6.0,867.0,1424.0,420.0,1000
16868.0,0.0,4835.0,47.1,6361.0,34.7,4685.0,8.1,7.3,986.0,1501.0,431.0,1096
518132.0,47.0,119899.0,39.3,160283.0,27.9,113685.0,6.8,6.2,25466.0,37985.0,11423.0,27656
1399.0,0.0,398.0,39.1,454.0,25.8,299.0,8.1,8.1,94.0,124.0,40.0,94
187888.0,35.0,44846.0,43.5,65463.0,33.4,50225.0,6.8,6.9,10440.0,14996.0,4212.0,10245
3839.0,0.0,1176.0,49.9,1509.0,36.3,1099.0,9.9,8.7,264.0,455.0,117.0,301
19794.0,0.0,7031.0,44.2,7159.0,30.8,4985.0,10.6,9.9,1608.0,2318.0,670.0,1721
34215.0,4.0,12332.0,48.0,13868.0,29.3,8460.0,10.6,10.2,2959.0,4003.0,1140.0,3074
48305.0,7.0,12035.0,52.2,20546.0,37.4,14715.0,10.1,11.4,4501.0,6138.0,1520.0,3954
20156.0,6.0,4672.0,55.4,8315.0,40.9,6136.0,10.6,12.5,1876.0,2506.0,635.0,1594
35761.0,5.0,9046.0,47.3,13278.0,34.9,9803.0,8.1,9.3,2611.0,3194.0,908.0,2271
56031.0,6.0,8436.0,49.0,20561.0,37.2,15595.0,6.9,8.7,3631.0,4670.0,1094.0,2905
74254.0,43.0,20258.0,56.6,33305.0,37.5,22048.0,10.5,12.9,7598.0,9405.0,2121.0,6198
823.0,0.0,282.0,53.9,356.0,38.8,256.0,11.8,9.4,62.0,129.0,32.0,78
98115.0,21.0,19612.0,51.2,38562.0,37.5,28246.0,8.6,10.3,7727.0,9935.0,2450.0,6468
39316.0,10.0,8651.0,45.1,13484.0,37.5,11212.0,7.2,5.7,1699.0,3076.0,875.0,2157
41619.0,17.0,15979.0,48.9,16754.0,32.5,11126.0,11.8,11.4,3889.0,4966.0,1381.0,4036
26907.0,5.0,7930.0,41.5,9014.0,31.9,6923.0,8.3,8.9,1941.0,2417.0,732.0,1795
35837.0,6.0,8198.0,43.4,12068.0,34.0,9450.0,7.1,6.1,1702.0,2875.0,828.0,1974
63955.0,0.0,10982.0,33.7,16204.0,29.0,13964.0,5.3,4.6,2225.0,3819.0,1165.0,2567
76806.0,12.0,19371.0,53.8,31586.0,38.7,22723.0,9.0,10.2,6002.0,7602.0,2105.0,5278
15042.0,0.0,5390.0,42.8,5335.0,33.3,4152.0,9.4,8.0,1003.0,1529.0,466.0,1166
