Heart disease_number
5711
2546
1398
13334
319
191
761
520
6117
3706
170
7784
1606
180
1348
417
2926
1565
7035
4440
3076
1148
6716
1686
687
1182
831
5496
623
26093
2641
8853
1202
3050
400
2859
214
1208
754
2222
1945
3327
1001
3872
3296
30840
1481
1911
2086
612
376
59
1536
197
519
4757
1517
2005
718
2010
400
1270
1196
1390
6961
3852
1000
1096
27656
94
10245
301
1721
3074
3954
1594
2271
2905
6198
78
6468
2157
4036
1795
1974
2567
5278
1166
556
334
208
396
606
313
1986
676
5000
44330
2778
1037
698
525
124
1171
1026
4453
650
2997
852
3579
1194
3605
906
3264
3125
727
24957
691
2663
1111
1828
3973
2285
2086
8376
9333
1683
10162
2662
25143
5341
1058
74849
19454
2904
8042
1103
741
7429
509
4646
732
501
2512
1394
1572
590
1794
1139
2635
179
635
3603
2402
1686
343
35
818
457
8466
1102
822
1111
371
885
4221
52875
122
288
5051
18763
592
2789
847
10671
1931
1570
3834
758
1663
89
1906
390
684
9319
1796
5693
757
52448
328
15219
51
1093
4144
434790
4407
2655
1804
1253
801
1071
1790
953
7026
4315
998
112422
410
913
824
2186
15928
3208
107
671
4092
734
1992
1377
1253
653
64
31
784
3751
1014
2387
1884
2001
488
737
115
1485
9213
1233
18102
78
3832
2051
2360
3087
5024
5626
244
2495
8384
3533
964
2070
300
1757
40301
17650
323
725
4431
1625
4455
2064
788
213
3466
253
9177
11289
1695
36009
1109
5753
840
1172
1389
1487
1562
2400
14102
1720
919
1993
6203
14948
36
3066
1035
640
1171
691
177
742
5184
8720
2270
924
8569
1095
435
38571
712
305
372
5952
742
1093
849
1390
566
639
1251
983
16589
4866
139723
1603
4996
558
1555
1141
4489
6372
17708
8205
2954
2444
1064
1696
3495
23631
698
24502
958
1666
8520
861
5273
153
1869
485
5947
36429
173
6615
9550
443
393
1566
10241
1182
5561
4425
877
3634
2017
1318
65873
1716
209
10041
555
2262
5840
1287
490
172
323
3158
65
4139
8250
364
13414
673
1253
41504
8778
176
4983
577
2343
1255
1018
827
1893
2173
1410
172
1613
23641
27257
7128
669
2802
1413
4071
5605
3608
2653
1576
3227
1275
1050
981
3193
14743
2554
2435
22735
46347
397
4702
7238
1109
2303
1179
2856
1229
1750
878
2687
3574
19579
331
630
8219
1528
2227
991
4192
2146
792
522
1177
2073
464
4562
2984
2317
296
1060
140
2341
26228
506
2469
2733
30532
996
14538
